regNo,name,rankOf12Month,rankOf24Month,rankOf36Month,rankOf48Month,rankOf60Month,rankLastUpdate,fundType,typeOfInvest,fundSize,initiationDate,dailyEfficiency,weeklyEfficiency,monthlyEfficiency,quarterlyEfficiency,sixMonthEfficiency,annualEfficiency,statisticalNav,efficiency,cancelNav,issueNav,dividendIntervalPeriod,guaranteedEarningRate,date,netAsset,estimatedEarningRate,investedUnits,articlesOfAssociationLink,prosoectusLink,websiteAddress,manager,managerSeoRegisterNo,guarantorSeoRegisterNo,auditor,custodian,guarantor,beta,alpha,isCompleted,fiveBest,stock,bond,other,cash,deposit,fundUnit,commodity,fundPublisher,smallSymbolName,insCode,fundWatch
11891,اختصاصی بازارگردانی آتیه باران,,,,,,0001-01-01T00:00:00,11,IssuanceAndCancellation,1214876498326,2021-11-24T00:00:00,0.098,-1.481,-8.968,2740.299,1459.282,168.686,994900.0,-0.529,994900.0,995804.0,0,,2025-03-02T00:00:00,1214876498326,,1221104,,,['atiehbaran.ir'],کارگزاری آتیه,10635,,موسسه حسابرسی و خدمات مدیریت رهیافت و همکاران,موسسه حسابرسی هدف نوین نگر,----,,,True,45.15,68.93,0.0,30.94,0.05,0.07,,,1,,None,
10864,طلای تابان تمدن,,,,,,0001-01-01T00:00:00,5,Negotiable,42077041861923,2011-05-14T00:00:00,0.84,-3.84,19.13,42.52,77.05,113.03,27197.0,18731.76,27197.0,27311.0,0,,2025-03-02T00:00:00,42077041861923,,1547092250,,,['tabantamadon.ir'],تامین سرمایه تمدن,,,حسابرسی و خدمات مدیریت ارقام نگر آریا,موسسه حسابرسی رازدار,----,,,True,0.0,0.0,0.0,0.0,0.0,0.11,0.0,99.88,2,,None,
11509,پشتوانه طلای لوتوس,,,,,,0001-01-01T00:00:00,5,Negotiable,299622481092991,2017-07-12T00:00:00,-0.05,-4.74,16.93,39.5,70.22,112.77,478477.0,4573.55,478477.0,480551.0,0,,2025-03-02T00:00:00,299622481092991,,626200045,,,['lotusgoldfund.capital'],تامین سرمایه لوتوس پارسیان,,,موسسه حسابرسی و بهبود سیستم های مدیریت حسابرسین,موسسه حسابرسی سامان پندار,----,,,True,0.0,0.0,0.63,0.0,0.0,0.0,0.0,99.37,2,,None,
12008,در اوراق بهادار مبتنی بر سکه طلا نهایت نگر,,,,,,0001-01-01T00:00:00,5,Negotiable,40961606907471,2023-04-26T00:00:00,0.91,-3.8,17.69,40.92,76.15,111.62,22914.0,120.86,22914.0,23016.0,0,,2025-03-02T00:00:00,40961606907471,,1787588679,,,['nahayatgold.com'],سبد گردان امید نهایت نگر,11578,,موسسه حسابرسی رازدار,موسسه حسابرسی و بهبود سیستمهای مدیریت حسابرسین,----,,,True,0.0,0.0,0.0,0.47,0.01,2.8,0.0,96.72,2,,None,
12196,سهامی اهرمی موج فیروزه,,,,,,0001-01-01T00:00:00,22,Negotiable,116590151728623,2023-11-13T00:00:00,2.013,7.125,2.724,39.163,90.995,109.661,17546.0,141.363,17546.0,17658.0,0,,2025-03-02T00:00:00,116590151728623,,6644862503,,,['mojfund.ir'],سبدگردان توسعه فیروزه,11677,,موسسه حسابرسی آتیه اندیش نمودگر,موسسه حسابرسی آگاهان و همکاران,----,,,True,37.67,92.35,0.0,1.12,0.0,6.53,,,1,موج,67141987086032267,
12006,طلای آسمان آلتون,,,,,,0001-01-01T00:00:00,5,Negotiable,39071868866792,2023-05-08T00:00:00,0.911,-3.934,16.698,38.721,71.421,108.761,21707.0,116.962,21707.0,21808.0,0,,2025-03-02T00:00:00,39071868866792,,1799942014,,,['altonfund.ir'],سبد گردان آسمان,10906,,موسسه حسابرسی هوشیار ممیز,موسسه حسابرسی ارقام نگر آریا,----,,,True,97.32,97.32,0.0,0.05,0.29,2.35,,,1,,None,
11530,پشتوانه سکه طلای زرافشان امید ایرانیان,,,,,,0001-01-01T00:00:00,5,Negotiable,48103692848991,2017-11-08T00:00:00,0.88,-3.83,18.1,37.68,65.55,104.98,297348.0,2839.82,297348.0,298493.0,0,,2025-03-02T00:00:00,48103692848991,,161775552,,,['omidgoldfund.ir'],تامین سرمایه امید,,,موسسه حسابرسی هدف نوین نگر,موسسه حسابرسی و خدمات مدیریت آزموده کاران,----,,,True,0.0,0.0,0.0,0.0,0.0,0.07,0.0,99.93,2,,None,
12169,بخشی ثروت پویا,,,,,,0001-01-01T00:00:00,21,Negotiable,9499319125802,2023-10-09T00:00:00,0.184,1.765,-1.725,28.837,57.321,70.946,19028.0,87.155,19028.0,19161.0,0,,2025-03-02T00:00:00,9499319125802,20.0,499224918,,,['pssfund.ir'],سبدگردان ثروت پویا,11846,,حسابرسی کاربرد تحقیق,موسسه حسابرسی ارقام نگر آریا,----,,,True,34.3,98.41,0.0,0.87,0.0,0.72,,,1,سمان,40473515538481093,
11799,اختصاصی بازارگردانی تصمیم ساز,,,,,,0001-01-01T00:00:00,11,IssuanceAndCancellation,956327984786,2021-04-24T00:00:00,0.235,-5.339,-12.685,4.716,46.473,70.537,1912656.0,85.11,1912656.0,1915160.0,0,,2025-03-02T00:00:00,956327984786,,500000,,,['tasmim-bazargardan.ir'],سبدگردان تصمیم,11345,,موسسه حسابرسی فریوران راهبرد,موسسه حسابرسی و بهبود سیستم‌های مدیریت حسابرسین,----,,,True,60.67,68.49,0.02,17.19,0.01,14.28,,,1,,None,
12057,تمشک نماد رشد,,,,,,0001-01-01T00:00:00,17,Negotiable,9747660270160,2023-01-14T00:00:00,-1.04,-6.1,17.37,38.39,59.44,65.87,25666.0,156.58,25666.0,25728.0,0,,2025-03-02T00:00:00,9747660270160,,379775266,,,['tameshk.fund'],مشاور سرمایه گذاری ترنج,11319,,موسسه حسابرسی آتیه اندیش نمودگر,موسسه حسابرسی و خدمات مدیریت رهیافت و همکاران,----,,,True,0.0,0.0,0.0,0.01,0.0,2.22,97.77,0.0,2,تمشک,53145304508578701,
